index,event_id,minute,second,team_id,player_id,x,y,end_x,end_y,type_display_name,outcome_type_display_name,period_display_name,player_name,Position
1396,850,82,1,Manchester City,297390,8.4,60,,,Challenge,Unsuccessful,SecondHalf,Manuel Akanji,LB
1397,647,82,2,Real Madrid,14296,96.9,33,,,SavedShot,Successful,SecondHalf,Karim Benzema,FWD
1398,851,82,3,Manchester City,121774,2,60.8,,,Save,Successful,SecondHalf,Moraes Ederson ,GK
1399,648,82,5,Real Madrid,144511,92.8,28.7,87.7,42.3,Pass,Successful,SecondHalf,Lucas Vazquez,RB
1400,649,82,6,Real Madrid,144890,87.9,43.5,,,SavedShot,Successful,SecondHalf,Dani Ceballos,AM
1401,852,82,7,Manchester City,121774,4.7,53.4,,,Save,Successful,SecondHalf,Moraes Ederson ,GK
1402,650,82,12,Real Madrid,144511,95.7,18.1,89.5,18.6,Pass,Successful,SecondHalf,Lucas Vazquez,RB
1403,651,82,16,Real Madrid,14296,91.3,12.5,83.6,9.9,Pass,Successful,SecondHalf,Karim Benzema,FWD
1404,652,82,18,Real Madrid,137467,83.6,9.9,87.4,5.3,Pass,Successful,SecondHalf,Marco Asensio,FWD
1405,653,82,19,Real Madrid,144511,86.3,6.3,77.8,7.5,Pass,Successful,SecondHalf,Lucas Vazquez,RB
1406,654,82,21,Real Madrid,137467,74.9,7.4,70.7,13,Pass,Successful,SecondHalf,Marco Asensio,FWD
1407,655,82,24,Real Madrid,144890,64.8,9.5,61.4,25.8,Pass,Successful,SecondHalf,Dani Ceballos,AM
1408,656,82,28,Real Madrid,337879,61.1,16.6,56.5,6.3,Pass,Successful,SecondHalf,Eder Militao,CB
1409,657,82,35,Real Madrid,144890,55.4,40.3,63.8,63.5,Pass,Successful,SecondHalf,Dani Ceballos,AM
1410,658,82,36,Real Madrid,344644,63.8,63.5,63.9,52.7,Pass,Successful,SecondHalf,Federico Valverde,MC
1411,659,82,37,Real Madrid,144890,63.9,52.7,64.1,70.8,Pass,Successful,SecondHalf,Dani Ceballos,AM
1412,660,82,39,Real Madrid,344644,64.1,70.8,69.8,80.5,Pass,Successful,SecondHalf,Federico Valverde,MC
1413,661,82,43,Real Madrid,337782,74.7,78.3,89.3,49,Pass,Unsuccessful,SecondHalf,Vinicius Junior,FWD
1414,853,82,44,Manchester City,313171,9.7,51,44.3,40.9,Clearance,Successful,SecondHalf,Ruben Dias,CB
1415,662,82,47,Real Madrid,104010,53.5,58.8,,,Interception,Successful,SecondHalf,Antonio Rudiger,CB
1416,663,82,48,Real Madrid,353423,61,56.3,44,27.6,Pass,Successful,SecondHalf,Aurelien Tchouameni,DM
1417,664,82,52,Real Madrid,337879,42.6,23.7,58.1,8.6,Pass,Successful,SecondHalf,Eder Militao,CB
